Date,Price,Open,High,Low,Vol.,Change %,Pred,new
20-Aug-18,29435,29388,29459,29350,5.66K,0.55%,175,156.3156729
21-Aug-18,29542,29460,29565,29436,6.27K,0.36%,155,211.4645332
22-Aug-18,29627,29450,29733,29450,4.61K,0.29%,71,461.7008829
23-Aug-18,29576,29666,29666,29490,5.98K,-0.17%,524,86.51325873
24-Aug-18,29882,29550,29900,29550,9.03K,1.03%,314,685.9323181
27-Aug-18,29973,29930,30045,29863,6.67K,0.30%,239,225.6703948
28-Aug-18,29981,30015,30170,29951,6.78K,0.03%,33,185.2193583
29-Aug-18,30144,29977,30168,29977,6.08K,0.54%,143,359.0640491
30-Aug-18,30131,30110,30269,30082,6.31K,-0.04%,-5,208.3046008
31-Aug-18,30116,30224,30298,30055,5.78K,-0.05%,386,135.4931958
3-Sep-18,30327,30075,30448,30062,1.44K,0.70%,183,641.4026346
4-Sep-18,30221,30238,30300,30154,0.17K,-0.35%,240,129.3244014
5-Sep-18,30310,30257,30494,30250,0.05K,0.29%,-103,297.4839669
6-Sep-18,30565,30366,30693,30366,14.80K,0.84%,71,528.1429559
7-Sep-18,30509,30643,30643,30405,9.44K,-0.18%,684,104.8140766
10-Sep-18,30725,30549,30748,30526,11.42K,0.71%,245,399.4472253
11-Sep-18,30732,30660,30744,30559,11.40K,0.02%,464,258.0473183
12-Sep-18,30664,30682,30779,30443,15.88K,-0.22%,823,320.4391814
13-Sep-18,30470,30576,30690,30450,6.63K,-0.63%,178,134.1576355
14-Sep-18,30453,30501,30648,30401,11.82K,-0.06%,157,199.4224861
17-Sep-18,30778,30509,30800,30509,13.77K,1.07%,247,562.5657675
18-Sep-18,30811,30710,30925,30652,11.96K,0.11%,219,375.4161229
19-Sep-18,30649,30821,30936,30634,13.10K,-0.53%,289,130.1478749
20-Sep-18,30623,30700,30700,30585,3.97K,-0.08%,306,38.1428805
21-Sep-18,30609,30731,30910,30455,15.51K,-0.05%,681,335.3007716
24-Sep-18,30862,30620,30899,30620,10.49K,0.83%,205,523.2050294
25-Sep-18,30838,30821,30864,30755,7.69K,-0.08%,255,126.2941636
26-Sep-18,30608,30824,30830,30587,9.12K,-0.75%,510,27.16683558
27-Sep-18,30356,30738,30738,30321,10.28K,-0.82%,904,35.48134956
28-Sep-18,30479,30398,30520,30264,8.85K,0.41%,576,338.8186624
1-Oct-18,30614,30399,30660,30376,2.22K,0.44%,261,501.2251778
3-Oct-18,31025,30890,31168,30889,0.19K,1.34%,-4,415.2283985
4-Oct-18,31136,31072,31164,31015,0.04K,0.36%,264,213.5812994
5-Oct-18,31233,31101,31288,30985,0.07K,0.31%,541,437.4251735
8-Oct-18,31096,31369,31389,31083,9.96K,-0.44%,578,33.12797992
9-Oct-18,31161,31200,31275,31115,7.31K,0.21%,187,121.2365419
10-Oct-18,31247,31235,31265,31151,6.58K,0.28%,330,126.351321
11-Oct-18,31793,31300,31815,31250,17.38K,1.75%,671,1067.81744
12-Oct-18,31670,31699,31720,31574,10.61K,-0.39%,421,117.4439095
15-Oct-18,31877,31723,32075,31723,14.31K,0.65%,-44,507.7087917
16-Oct-18,31701,31877,31957,31680,10.71K,-0.55%,356,101.1836174
17-Oct-18,31702,31670,31839,31635,8.63K,0.00%,35,236.4320531
18-Oct-18,31885,31670,31909,31638,5.54K,0.58%,319,488.1157153
19-Oct-18,31737,31805,31867,31703,7.59K,-0.46%,210,96.17588241
22-Oct-18,31729,31738,31749,31641,6.73K,-0.03%,359,99.30036977
23-Oct-18,31871,31721,32053,31721,13.47K,0.45%,-32,483.5699379
24-Oct-18,31723,31820,31844,31585,9.82K,-0.46%,722,163.1316131
